lsoa,60plus_perc,females_perc,employment_score,crime_score,outdoor_environment_score,lvl_4plus_perc
E01000087,12.999273783587508,53.46756152125278,0.163,0.358,0.531,17.382617382617386
E01000088,16.167979002624673,51.96936542669585,0.138,0.638,0.943,21.945866861741038
E01000089,11.305822498586775,49.69987995198079,0.133,0.528,0.863,21.08731466227348
E01000090,12.172284644194756,51.45202020202021,0.133,1.211,0.368,23.04964539007092
E01000091,12.415730337078653,52.742123687281214,0.218,0.743,0.768,17.636986301369863
E01000092,9.670781893004117,49.92520568436799,0.147,1.036,0.448,27.064935064935064
E01000093,10.532761788120023,49.51519069166128,0.224,1.289,0.933,19.013452914798208
E01000094,3.6567164179104483,50.0,0.116,0.472,0.635,37.36501079913607
E01000095,9.74450386215092,51.844783715012724,0.135,1.319,0.469,26.756756756756754
E01000096,6.334841628959277,52.189973614775724,0.14300000000000002,1.485,1.465,19.82200647249191
E01000097,20.19002375296912,53.238265002970884,0.17800000000000002,1.124,0.5579999999999999,18.00314465408805
E01000098,12.541436464088399,52.405498281786954,0.185,1.314,0.334,17.319749216300938
E01000099,12.48780487804878,53.11778290993072,0.149,0.789,0.342,18.160561184723306
E01000100,14.303253529772869,52.87356321839081,0.179,0.795,0.464,16.387959866220733
E01000101,14.993646759847527,53.4699272967614,0.17600000000000002,1.026,0.78,18.29268292682927
E01000102,16.54815772462831,53.57142857142857,0.17600000000000002,1.054,0.307,18.582541054451166
E01000103,12.12653778558875,53.8872403560831,0.166,1.276,0.411,20.628525382755846
E01000104,11.509971509971509,50.870297585626055,0.21,0.258,0.6509999999999999,14.531250000000002
E01000105,15.753424657534245,52.5129168623767,0.217,1.25,0.51,17.347580138277813
E01000106,14.271555996035678,50.609756097560975,0.22,1.421,0.219,19.619823489477245
E01000107,20.78078078078078,51.38055222088835,0.142,0.617,0.237,15.456674473067913
E01000108,17.08229426433915,50.513478818998706,0.118,0.7979999999999999,0.625,19.609438567941414
E01000109,14.51520367183018,51.18623962040332,0.126,1.17,0.636,19.006309148264986
E01000110,18.859957776213935,50.847457627118644,0.093,0.11,0.407,26.22658340767172
E01000111,17.26349545697488,54.60992907801418,0.129,0.953,0.7709999999999999,20.08608321377332
E01000112,13.605794102431453,50.98877605558525,0.096,0.81,0.858,24.676209952283568
E01000113,13.855072463768115,52.412150089338894,0.117,1.212,0.8590000000000001,26.117647058823533
E01000114,14.746987951807228,51.05263157894736,0.111,0.953,0.513,19.04454486765655
E01000115,24.76319350473613,52.29110512129379,0.048,-0.261,0.494,37.18801996672213
